probe_id,times_selected,mean_importance,median_importance,mean_rank,best_rank,selection_frequency_pct,gene_symbol
204603_at,18,0.0,0.0,219.05555555555554,154,90.0,EXO1
204863_s_at,18,0.0022643746,0.0,165.55555555555554,21,90.0,IL6ST
213134_x_at,18,0.000627659,0.0,200.16666666666666,47,90.0,BTG3
1568574_x_at,18,0.003807135,0.0,156.11111111111111,17,90.0,SPP1
235046_at,18,0.017451279,0.0,102.94444444444444,7,90.0,INPP4B
222608_s_at,17,0.0,0.0,133.2941176470588,54,85.0,ANLN
214404_x_at,17,0.00023840775,0.0,210.1764705882353,55,85.0,SPDEF
40016_g_at,17,0.0006406596,0.0,152.88235294117646,44,85.0,MAST4
243735_at,17,0.0,0.0,144.11764705882354,88,85.0,ELP2
202580_x_at,17,0.00085938146,0.0,138.52941176470588,49,85.0,FOXM1
222845_x_at,17,0.0,0.0,132.05882352941177,58,85.0,TMBIM4
202991_at,17,0.0551914,0.059582148,16.294117647058822,9,85.0,STARD3
219555_s_at,17,0.019178879,0.009493335,81.6470588235294,7,85.0,CENPN
1554493_s_at,17,0.0063730218,0.003337863,112.88235294117646,14,85.0,THADA
229490_s_at,17,0.0,0.0,212.05882352941177,92,85.0,
209460_at,17,0.0005287634,0.0,190.64705882352942,41,85.0,ABAT
212949_at,16,0.0002413885,0.0,214.75,75,80.0,NCAPH
225421_at,16,0.013387838,0.0112093985,78.0,15,80.0,PM20D2
209602_s_at,16,0.0,0.0,220.5625,119,80.0,GATA3
203805_s_at,16,0.011073308,0.0,137.3125,10,80.0,FANCA
228969_at,16,0.020465188,0.004784957,110.0,6,80.0,AGR2
219105_x_at,16,0.0,0.0,142.75,64,80.0,ORC6
228956_at,16,0.018109351,0.0,138.5,9,80.0,UGT8
211767_at,16,0.00029351652,0.0,206.6875,54,80.0,GINS4
228708_at,16,0.0,0.0,187.0,87,80.0,RAB27B
227232_at,16,0.0,0.0,176.8125,84,80.0,EVL
203755_at,16,0.0003190829,0.0,173.625,49,80.0,BUB1B
226030_at,16,0.0008086029,0.0,145.25,46,80.0,ACADSB
219867_at,16,0.026194846,0.023364028,51.375,11,80.0,CHODL
222453_at,16,0.0011508733,0.0,121.4375,27,80.0,CYBRD1
211712_s_at,16,0.00184272,0.0,183.5625,29,80.0,ANXA9
242555_at,16,0.0022742767,0.0,121.1875,29,80.0,HDIP1
242628_at,16,0.009094527,0.003406361,92.9375,11,80.0,
230645_at,16,0.00025004603,0.0,207.8125,57,80.0,FRMD3
206538_at,16,0.00027062462,0.0,190.625,55,80.0,MRAS
224925_at,15,0.0,0.0,154.8,69,75.0,PREX1
214249_at,15,0.019292034,0.01405098,107.73333333333333,12,75.0,TRIM2
1559258_a_at,15,0.00090864045,0.0,154.06666666666666,51,75.0,CT83
223523_at,15,0.03770146,0.019366298,33.2,7,75.0,TMEM108
204650_s_at,15,0.0,0.0,203.33333333333334,100,75.0,APBB3
222760_at,15,0.00029345564,0.0,133.73333333333332,51,75.0,ZNF703
227363_s_at,15,0.0031583002,0.0,169.2,13,75.0,EMC8
230142_s_at,15,0.002593834,0.0,204.13333333333333,21,75.0,CIRBP
202107_s_at,15,0.00034865455,0.0,143.4,50,75.0,MCM2
231094_s_at,15,0.00046621964,0.0,193.33333333333334,40,75.0,LOC101928195
1564651_at,15,0.0018900054,0.0,113.13333333333334,34,75.0,SMIM13
223103_at,15,0.0,0.0,137.46666666666667,51,75.0,STARD10
214440_at,14,0.0012856739,0.0,174.21428571428572,47,70.0,NAT1
214240_at,14,0.0,0.0,227.5,145,70.0,GAL
223892_s_at,14,0.0,0.0,135.78571428571428,56,70.0,TMBIM4
221591_s_at,14,0.0,0.0,144.21428571428572,74,70.0,PIMREG
203968_s_at,14,0.044472884,0.013664415,70.78571428571429,7,70.0,CDC6
210908_s_at,14,0.0012981811,0.0,188.78571428571428,36,70.0,PFDN5
226120_at,14,0.0,0.0,156.42857142857142,81,70.0,TTC8
202613_at,14,0.0018055848,0.0,111.64285714285714,27,70.0,CTPS1
211042_x_at,14,0.0005270461,0.0,225.21428571428572,42,70.0,MCAM
244407_at,14,0.0028662123,0.0,138.5,32,70.0,CYP39A1
202240_at,14,0.00027171956,0.0,141.5,70,70.0,PLK1
205240_at,14,0.00042388783,0.0,175.71428571428572,60,70.0,GPSM2
231938_at,14,0.0,0.0,186.42857142857142,57,70.0,SGO1
218976_at,14,0.0030163813,0.0,91.14285714285714,24,70.0,DNAJC12
237968_at,14,0.0,0.0,142.0,73,70.0,ATL2
238865_at,14,0.00026586652,0.0,162.71428571428572,58,70.0,PABPC4L
1559051_s_at,14,0.0004333367,0.0,143.07142857142858,47,70.0,CGAS
238931_at,14,0.0048168343,0.0,118.57142857142857,11,70.0,LOC284009
231698_at,14,0.0,0.0,197.35714285714286,63,70.0,
212099_at,14,0.0010540329,0.0,214.21428571428572,32,70.0,RHOB
202095_s_at,13,0.0,0.0,159.6153846153846,72,65.0,BIRC5
